brand,source,date,combined_text,cleaned_text,title,url,finbert_label,finbert_confidence,topic,topic_confidence,sentiment_score,weighted_sentiment,funding,discounts,technology,logistics,customer_complaints,expansion,competition,partnership,other,topic_concentration,external_trend_score,trend_score,trend_velocity,trend_acceleration,trend_sentiment_signal,final_trend_score
ajio,GlobeNewswire,2026-02-24,"Luxury Fashion Market Report Forecast and Company Analysis 2025-2033 Featuring Kering, Burberry, Dolce & Gabbana,. Giorgio Armani, Capri, LVMH, Prada, Chanel, Diesel, Industria de Diseno Textil The global luxury fashion market is set for substantial growth, expanding from $257.45 billion in 2025 to $337.18 billion by 2033, at a CAGR of 3.43%. Factors propelling this growth include rising disposable incomes, changing consumer behaviors, and heightene…",luxury fashion market report forecast company analysis featuring kering burberry dolce gabbana giorgio armani capri lvmh prada chanel diesel industria de diseno textil global luxury fashion market set substantial growth expanding billion billion cagr factors propelling growth include rising disposable incomes changing consumer behaviors heightene,"Luxury Fashion Market Report Forecast and Company Analysis 2025-2033 Featuring Kering, Burberry, Dolce & Gabbana,. Giorgio Armani, Capri, LVMH, Prada, Chanel, Diesel, Industria de Diseno Textil",https://www.globenewswire.com/news-release/2026/02/24/3243852/28124/en/Luxury-Fashion-Market-Report-Forecast-and-Company-Analysis-2025-2033-Featuring-Kering-Burberry-Dolce-Gabbana-Giorgio-Armani-Capri-LVMH-Prada-Chanel-Diesel-Industria-de-Diseno-Texti.html,positive,0.8473032712936401,expansion,0.8,1,0.8473032712936401,0,0,0,0,0,1,0,0,0,0.369913821962174,0.2988870106181711,0.9236516356468201,0.0,0.0,0.0,0.5487928606296306
ajio,The Times of India,2026-02-24,"Fractal Industries shares to list today. Check GMP ahead of debut Fractal Industries is poised for its BSE SME debut with modest listing gains expected around 3%. The Rs 49 crore IPO, fully subscribed 5.44 times, will fund working capital and corporate needs.  The garment manufacturer, serving major e-commerce platforms, re…",fractal industries shares list today check gmp ahead debut fractal industries poised bse sme debut modest listing gains expected around rs crore ipo fully subscribed times fund working capital corporate needs garment manufacturer serving major ecommerce platforms,Fractal Industries shares to list today. Check GMP ahead of debut,https://economictimes.indiatimes.com/markets/stocks/news/fractal-industries-shares-to-list-today-check-gmp-ahead-of-debut/articleshow/128736665.cms,positive,0.7896661758422852,funding,1.0,1,0.7896661758422852,1,0,0,0,0,0,0,0,0,0.369913821962174,0.2988870106181711,0.9092423617839813,-0.014409273862838745,0.0,-0.011378516187932064,0.5430291510844951
ajio,The Drum,2026-03-05,"Judge of the Day: Marketing must own the P&L, says Arpan Biswas Judge of the Day: Marketing must own the P&L, says Arpan Biswasthedrum.com",judge day marketing must pl says arpan biswas judge day marketing must pl says arpan biswasthedrumcom,"Judge of the Day: Marketing must own the P&L, says Arpan Biswas",https://www.thedrum.com/news/judge-of-the-day-marketing-must-own-the-p-l-says-arpan-biswas,neutral,0.9536041617393494,other,0.8,0,0.0,0,0,0,0,0,0,0,0,1,0.9999984608953782,0.3333350050622992,0.7728282411893209,-0.1364141205946604,-0.12200484673182166,-0.0,0.5091322995131079
ajio,The Times of India,2026-03-16,Reliance’s e-commerce platform cashes in on Dhurandhar hype with new merch line Reliance fashion platform AJIO has launched a special merchandise collection. This range is inspired by the spy thriller Dhurandhar. The collection features apparel like graphic T-shirts and signature tees. It also includes limited-edition signed Pathanis. De…,reliances ecommerce platform cashes dhurandhar hype new merch line reliance fashion platform ajio launched special merchandise collection range inspired spy thriller dhurandhar collection features apparel like graphic tshirts signature tees also includes limitededition signed pathanis de,Reliance’s e-commerce platform cashes in on Dhurandhar hype with new merch line,https://economictimes.indiatimes.com/industry/services/retail/reliances-e-commerce-platform-cashes-in-on-dhurandhar-hype-with-new-merch-line/articleshow/129610729.cms,neutral,0.9032920598983764,expansion,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0.4460247354389621,0.6362747209091913,0.6316110293070475,-0.14121721188227343,-0.004803091287613026,-0.0,0.6344092442683338
amazon india,The Times of India,2026-03-24,AWS eyeing 2-3 gigawatts India capacity on tax sops sweetener AWS is targeting a long-term scale-up to 2-3 gigawatts of capacity after the government declared a 20-year tax holiday for cloud companies. India’s current data centre capacity is expected to increase to 10 gigawatts by 2030 from 1.4 gigawatts at present.,aws eyeing gigawatts india capacity tax sops sweetener aws targeting longterm scaleup gigawatts capacity government declared year tax holiday cloud companies indias current data centre capacity expected increase gigawatts gigawatts present,AWS eyeing 2-3 gigawatts India capacity on tax sops sweetener,https://economictimes.indiatimes.com/tech/technology/aws-eyeing-2-3-gigawatts-india-capacity-on-tax-sops-sweetener/articleshow/129761032.cms,positive,0.7057953476905823,regulation,1.0,1,0.7057953476905823,0,0,0,0,0,0,0,0,0,0.0,0.2678557079260998,0.8528976738452911,0.0,0.0,0.0,0.5018724942937763
amazon india,The Times of India,2026-03-24,"Indian GCC talent taking up global leadership positions at a faster clip Global capability centres (GCCs) in India are moving up the corporate ladder, with nearly 20% of such centres enjoying real strategic authority, up from just 5% a decade ago, according to data from ANSR and Deloitte India. The number of global leadership role…",indian gcc talent taking global leadership positions faster clip global capability centres gccs india moving corporate ladder nearly centres enjoying real strategic authority decade ago according data ansr deloitte india number global leadership role,Indian GCC talent taking up global leadership positions at a faster clip,https://economictimes.indiatimes.com/tech/technology/indian-gcc-talent-taking-up-global-leadership-positions-at-a-faster-clip/articleshow/129757821.cms,positive,0.7020782828330994,expansion,0.8,1,0.7020782828330994,0,0,0,0,0,1,0,0,0,0.0,0.2678557079260998,0.8519684076309204,-0.0009292662143707275,0.0,-0.0006524176280802152,0.5015007878080281
amazon india,Ibtimes.com.au,2026-03-24,"Sam Altman Navigates OpenAI's Explosive Growth Amid Rival Bids, Defense Deals and AI's Labor Market Reckoning OpenAI CEO Sam Altman is steering the artificial intelligence juggernaut through one of its most turbulent and transformative periods, rejecting a massive unsolicited buyout offer from Elon Musk while forging new partnerships with Amazon and the U.S. Departme…",sam altman navigates openais explosive growth amid rival bids defense deals ais labor market reckoning openai ceo sam altman steering artificial intelligence juggernaut one turbulent transformative periods rejecting massive unsolicited buyout offer elon musk forging new partnerships amazon us departme,"Sam Altman Navigates OpenAI's Explosive Growth Amid Rival Bids, Defense Deals and AI's Labor Market Reckoning",https://www.ibtimes.com.au/sam-altman-navigates-openais-explosive-growth-amid-rival-bids-defense-deals-ais-labor-market-1864320,neutral,0.6947606205940247,discounts,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0.0,0.2678557079260998,0.7346456050872803,-0.11732280254364014,-0.11639353632926941,-0.0,0.45457166679057204
amazon india,TechRadar,2026-03-24,"Nvidia RTX 5090 buyer is literally cleaned out as box contains no GPU, just laundry detergent — a reminder to be careful out there GPU scams have involved replacing the graphics card with rocks or lumps of metal in the past, but this is a new one.",nvidia rtx buyer literally cleaned box contains gpu laundry detergent reminder careful gpu scams involved replacing graphics card rocks lumps metal past new one,"Nvidia RTX 5090 buyer is literally cleaned out as box contains no GPU, just laundry detergent — a reminder to be careful out there",https://www.techradar.com/computing/gpu/nvidia-rtx-5090-buyer-is-literally-cleaned-out-as-box-contains-no-gpu-just-laundry-detergent-a-reminder-to-be-careful-out-there,neutral,0.7492192387580872,technology,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.2678557079260998,0.6170130471388499,-0.11763255794843042,-0.0003097554047902795,-0.0,0.4075186436111998
amazon india,The Times of India,2026-03-24,"Puducherry election 2026: Want to know the declared assets of Santiago Martin’s son Jose Charles Martin? PUDUCHERRY: Jose Charles Martin, Latchiya Jananayaga Katchi (LJK) founder and son of controversial lottery magnate Santiago Martin, who filed his nomi.",puducherry election want know declared assets santiago martins son jose charles martin puducherry jose charles martin latchiya jananayaga katchi ljk founder son controversial lottery magnate santiago martin filed nomi,Puducherry election 2026: Want to know the declared assets of Santiago Martin’s son Jose Charles Martin?,https://timesofindia.indiatimes.com/city/puducherry/puducherry-election-2026-want-to-know-the-declared-assets-of-santiago-martins-son-jose-charles-martin/articleshow/129781018.cms,neutral,0.8966236114501953,other,0.8,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.2678557079260998,0.5,-0.11701304713884986,0.000619510809580559,-0.0,0.36071342475565993
amazon india,BusinessLine,2026-03-24,"China’s AI ambitions, and ours New marketplaces for datasets could give Beijing a headstart in the global race of AI. India can organise its datasets differently",chinas ai ambitions new marketplaces datasets could give beijing headstart global race ai india organise datasets differently,"China’s AI ambitions, and ours",https://www.thehindubusinessline.com/opinion/chinas-ai-ambitions-and-ours/article70780656.ece,neutral,0.7793485522270203,expansion,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.2678557079260998,0.5,0.0,0.11701304713884986,0.0,0.36071342475565993
amazon india,Notebookcheck.net,2026-03-24,"Tecno set to launch Spark 50 5G smartphone on March 27 with Pixel 10-inspired design Tecno is all set to launch the new Spark 50 5G smartphone on March 27 in India. The new smartphone features a Pixel 10-inspired rear design and MIL-STD-810H certification. On top of this, it has a large 6,500 mAh battery with 45 W wired charging support.",tecno set launch spark g smartphone march pixel inspired design tecno set launch new spark g smartphone march india new smartphone features pixel inspired rear design milstdh certification top large mah battery w wired charging support,Tecno set to launch Spark 50 5G smartphone on March 27 with Pixel 10-inspired design,https://www.notebookcheck.net/Tecno-set-to-launch-Spark-50-5G-smartphone-on-March-27-with-Pixel-10-inspired-design.1257741.0.html,neutral,0.8765482306480408,expansion,1.0,0,0.0,0,0,0,0,0,1,0,0,0,0.0,0.2678557079260998,0.5,0.0,0.0,0.0,0.36071342475565993
amazon india,Notebookcheck.net,2026-03-24,"OnePlus officially confirms Nord 6 along with key highlights and launch date OnePlus has confirmed a new Nord series smartphone. The Nord 6 will launch in India with notable upgrades over its predecessor, including a 9,000mAh battery and a 165Hz display.",oneplus officially confirms nord along key highlights launch date oneplus confirmed new nord series smartphone nord launch india notable upgrades predecessor including mah battery hz display,OnePlus officially confirms Nord 6 along with key highlights and launch date,https://www.notebookcheck.net/OnePlus-officially-confirms-Nord-6-along-with-key-highlights-and-launch-date.1257856.0.html,positive,0.9283267855644226,expansion,1.0,1,0.9283267855644226,0,0,0,0,0,1,0,0,0,0.0,0.2678557079260998,0.6547211309274038,0.1547211309274038,0.1547211309274038,0.14363177013272896,0.42260187712662145
amazon india,GlobeNewswire,2026-03-24,"Gelatide Drops Claims Evaluated: 2026 Report on the Gela Tide Liquid Formula Ingredients, Pricing, and What Consumers Should Verify Before Purchasing A 2026 informational consumer evaluation of Gelatide marketing claims, ingredient research context, liquid supplement format considerations, pricing structure, and what consumers should verify before purchasing. A 2026 informational consumer evaluation of Gel…",gelatide drops claims evaluated report gela tide liquid formula ingredients pricing consumers verify purchasing informational consumer evaluation gelatide marketing claims ingredient research context liquid supplement format considerations pricing structure consumers verify purchasing informational consumer evaluation gel,"Gelatide Drops Claims Evaluated: 2026 Report on the Gela Tide Liquid Formula Ingredients, Pricing, and What Consumers Should Verify Before Purchasing",https://www.globenewswire.com/news-release/2026/03/24/3261698/0/en/Gelatide-Drops-Claims-Evaluated-2026-Report-on-the-Gela-Tide-Liquid-Formula-Ingredients-Pricing-and-What-Consumers-Should-Verify-Before-Purchasing.html,neutral,0.9397661089897156,technology,1.0,0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.2678557079260998,0.6547211309274038,0.0,-0.1547211309274038,0.0,0.42260187712662145
amazon india,Livemint,2026-03-25,"At 10, Amazon Ads sharpens commerce-led play in a crowding ad market As media consumption fragments and competition rises, Amazon Ads is doubling down on its full-funnel approach, taking on Google, Meta, and emerging rivals in India.",amazon ads sharpens commerceled play crowding ad market media consumption fragments competition rises amazon ads doubling fullfunnel approach taking google meta emerging rivals india,"At 10, Amazon Ads sharpens commerce-led play in a crowding ad market",https://www.livemint.com/companies/india-amazon-ads-crowding-ad-market-media-google-meta-ai-tools-mx-player-11774363025232.html,neutral,0.5746747851371765,competition,1.0,0,0.0,0,0,0,0,0,0,1,0,0,0.08327287650912074,0.255951009796051,0.6547211309274038,0.0,0.0,0.0,0.41545905824859214
